market_name,median_avg_prices_15days,assets.descriptions,assets.type
AK-47 | Redline (Minimal Wear),"[['Jun 12 2023', 105.9247, 16], ['Jun 13 2023', 113.74593333333335, 36], ['Jun 14 2023', 110.03449999999998, 24], ['Jun 15 2023', 113.16572727272727, 24], ['Jun 16 2023', 111.49181818181818, 17], ['Jun 17 2023', 113.7393333333333, 27], ['Jun 18 2023', 109.80692307692308, 22], ['Jun 19 2023', 109.18384615384616, 18], ['Jun 20 2023', 105.5573076923077, 17], ['Jun 21 2023', 101.49508333333334, 21], ['Jun 22 2023', 103.87627272727273, 20], ['Jun 23 2023', 102.62511764705883, 32], ['Jun 24 2023', 102.96392857142858, 19], ['Jun 25 2023', 110.47574999999999, 11], ['Jun 26 2023', 99.75499999999998, 16]]","[{'type': 'html', 'value': 'Exterior: Minimal Wear'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been painted using a carbon fiber hydrographic and a dry-transfer decal of a red pinstripe.\n\n<i>Never be afraid to push it to the limit</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Phoenix Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Classified Rifle
AK-47 | Redline (Field-Tested),"[['Jun 12 2023', 24.287304347826083, 278], ['Jun 13 2023', 23.712304347826084, 250], ['Jun 14 2023', 24.072130434782608, 258], ['Jun 15 2023', 24.18466666666667, 303], ['Jun 16 2023', 24.145166666666665, 325], ['Jun 17 2023', 24.063541666666666, 377], ['Jun 18 2023', 24.138, 298], ['Jun 19 2023', 24.322958333333336, 286], ['Jun 20 2023', 23.975636363636365, 262], ['Jun 21 2023', 23.73078260869565, 296], ['Jun 22 2023', 23.891130434782607, 287], ['Jun 23 2023', 23.397478260869562, 535], ['Jun 24 2023', 23.329869565217397, 374], ['Jun 25 2023', 22.989434782608697, 367], ['Jun 26 2023', 22.257130434782606, 338]]","[{'type': 'html', 'value': 'Exterior: Field-Tested'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been painted using a carbon fiber hydrographic and a dry-transfer decal of a red pinstripe.\n\n<i>Never be afraid to push it to the limit</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Phoenix Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Classified Rifle
AK-47 | Redline (Well-Worn),"[['Jun 12 2023', 17.943125, 39], ['Jun 13 2023', 17.807900000000004, 47], ['Jun 14 2023', 18.395125, 45], ['Jun 15 2023', 17.7377, 48], ['Jun 16 2023', 18.870894736842107, 50], ['Jun 17 2023', 19.158055555555553, 31], ['Jun 18 2023', 19.39565, 44], ['Jun 19 2023', 20.203400000000002, 38], ['Jun 20 2023', 19.135941176470592, 44], ['Jun 21 2023', 18.2773125, 26], ['Jun 22 2023', 18.605428571428572, 40], ['Jun 23 2023', 18.225826086956523, 77], ['Jun 24 2023', 18.1923, 50], ['Jun 25 2023', 18.061062500000002, 38], ['Jun 26 2023', 17.857000000000003, 42]]","[{'type': 'html', 'value': 'Exterior: Well-Worn'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been painted using a carbon fiber hydrographic and a dry-transfer decal of a red pinstripe.\n\n<i>Never be afraid to push it to the limit</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Phoenix Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': '<br><div id=""sticker_info"" name=""sticker_info"" title=""Sticker"" style=""border: 2px solid rgb(102, 102, 102); border-radius: 6px; width=100; margin:4px; padding:8px;""><center><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/illuminate_capsule_02/longevity.fb0f62ae6327a69ac682c85c8183a195f3367de3.png""><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/illuminate_capsule_02/longevity.fb0f62ae6327a69ac682c85c8183a195f3367de3.png""><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/illuminate_capsule_02/longevity.fb0f62ae6327a69ac682c85c8183a195f3367de3.png""><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_cerq.12e94b7e960bfb9e5d3604fbce832ca32be9c0b5.png""><br>Sticker: Longevity, Longevity, Longevity, CeRq | Katowice 2019</center></div>'}]",Classified Rifle
AK-47 | Redline (Battle-Scarred),"[['Jun 12 2023', 27.789611111111107, 49], ['Jun 13 2023', 14.36638095238095, 54], ['Jun 14 2023', 15.50542857142857, 71], ['Jun 15 2023', 14.009954545454548, 67], ['Jun 16 2023', 14.306086956521737, 72], ['Jun 17 2023', 13.968549999999999, 63], ['Jun 18 2023', 13.916954545454546, 68], ['Jun 19 2023', 14.122611111111114, 61], ['Jun 20 2023', 14.048500000000002, 51], ['Jun 21 2023', 14.431000000000001, 52], ['Jun 22 2023', 14.475799999999998, 58], ['Jun 23 2023', 14.492478260869563, 111], ['Jun 24 2023', 14.503434782608696, 85], ['Jun 25 2023', 14.431590909090907, 74], ['Jun 26 2023', 14.326952380952383, 59]]","[{'type': 'html', 'value': 'Exterior: Battle-Scarred'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been painted using a carbon fiber hydrographic and a dry-transfer decal of a red pinstripe.\n\n<i>Never be afraid to push it to the limit</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Phoenix Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': '<br><div id=""sticker_info"" name=""sticker_info"" title=""Sticker"" style=""border: 2px solid rgb(102, 102, 102); border-radius: 6px; width=100; margin:4px; padding:8px;""><center><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/berlin2019/sig_boombl4.4d47c7dc88c85c1661f05cd4d2d0791bd426f638.png""><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_dephh.3c81c3ccf0a200d0f8abcce9366d62244312d9b7.png""><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/katowice2019/sig_azr.5c508e454f767b10cd284c8386c49409b9bd1256.png""><br>Sticker: Boombl4 | Berlin 2019, dephh | Katowice 2019, AZR | Katowice 2019</center></div>'}]",Classified Rifle
AK-47 | Jaguar (Factory New),"[['May 22 2023', 171.237, 2], ['May 23 2023', 168.1865, 2], ['May 26 2023', 184.68966666666665, 3], ['May 28 2023', 185.01, 1], ['May 30 2023', 178.4995, 2], ['Jun 04 2023', 201.005, 2], ['Jun 06 2023', 199.2825, 2], ['Jun 11 2023', 211.1055, 2], ['Jun 13 2023', 205.28, 1], ['Jun 15 2023', 216.72, 1], ['Jun 16 2023', 177.53, 1], ['Jun 19 2023', 194.94, 1], ['Jun 21 2023', 187.46, 1], ['Jun 25 2023', 180.01, 1], ['Jun 26 2023', 213.494, 1]]","[{'type': 'html', 'value': 'Exterior: Factory New'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with the image of a panther over a tiger camo background.'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The eSports 2014 Summer Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': '<br><div id=""sticker_info"" name=""sticker_info"" title=""Sticker"" style=""border: 2px solid rgb(102, 102, 102); border-radius: 6px; width=100; margin:4px; padding:8px;""><center><img width=64 height=48 src=""https://steamcdn-a.akamaihd.net/apps/730/icons/econ/stickers/rmr2020/furi_holo.356e523b29ec2a74eef67d45dfd87f5920fac614.png""><br>Sticker: FURIA (Holo) | 2020 RMR</center></div>'}]",Covert Rifle
AK-47 | Jaguar (Minimal Wear),"[['Jun 12 2023', 64.69266666666668, 5], ['Jun 13 2023', 63.20279999999999, 6], ['Jun 14 2023', 66.0934, 11], ['Jun 15 2023', 66.85000000000001, 3], ['Jun 16 2023', 63.986888888888885, 9], ['Jun 17 2023', 65.12877777777777, 9], ['Jun 18 2023', 60.67514285714286, 8], ['Jun 19 2023', 64.93171428571428, 8], ['Jun 20 2023', 64.37162500000001, 9], ['Jun 21 2023', 64.70885714285714, 7], ['Jun 22 2023', 63.60785714285714, 8], ['Jun 23 2023', 70.828, 15], ['Jun 24 2023', 62.550833333333344, 6], ['Jun 25 2023', 61.241777777777784, 9], ['Jun 26 2023', 63.14725, 4]]","[{'type': 'html', 'value': 'Exterior: Minimal Wear'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with the image of a panther over a tiger camo background.'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The eSports 2014 Summer Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Jaguar (Field-Tested),"[['Jun 12 2023', 40.969500000000004, 16], ['Jun 13 2023', 38.781000000000006, 17], ['Jun 14 2023', 38.8288, 26], ['Jun 15 2023', 39.27161538461539, 18], ['Jun 16 2023', 44.104888888888894, 13], ['Jun 17 2023', 41.72253846153846, 20], ['Jun 18 2023', 41.473, 12], ['Jun 19 2023', 41.63666666666666, 17], ['Jun 20 2023', 41.57208333333333, 15], ['Jun 21 2023', 39.3571, 14], ['Jun 22 2023', 43.42021428571428, 21], ['Jun 23 2023', 39.0735, 23], ['Jun 24 2023', 38.68472222222223, 29], ['Jun 25 2023', 41.457125, 28], ['Jun 26 2023', 41.906333333333336, 19]]","[{'type': 'html', 'value': 'Exterior: Field-Tested'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with the image of a panther over a tiger camo background.'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The eSports 2014 Summer Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Jaguar (Well-Worn),"[['Jun 12 2023', 36.091875, 14], ['Jun 13 2023', 36.544125, 9], ['Jun 14 2023', 36.1274, 10], ['Jun 15 2023', 37.37985714285714, 11], ['Jun 16 2023', 39.6346, 6], ['Jun 17 2023', 37.473400000000005, 12], ['Jun 18 2023', 34.068625000000004, 9], ['Jun 19 2023', 39.35283333333333, 8], ['Jun 20 2023', 38.567400000000006, 15], ['Jun 21 2023', 39.63014285714286, 10], ['Jun 22 2023', 39.75860000000001, 5], ['Jun 23 2023', 37.126583333333336, 18], ['Jun 24 2023', 36.594076923076926, 15], ['Jun 25 2023', 37.9868, 12], ['Jun 26 2023', 37.13144444444444, 13]]","[{'type': 'html', 'value': 'Exterior: Well-Worn'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with the image of a panther over a tiger camo background.'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The eSports 2014 Summer Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Jaguar (Battle-Scarred),"[['Jun 13 2023', 35.162333333333336, 14], ['Jun 14 2023', 36.56155555555555, 12], ['Jun 15 2023', 35.665499999999994, 11], ['Jun 16 2023', 36.0013, 13], ['Jun 17 2023', 36.501777777777775, 14], ['Jun 18 2023', 36.63290909090909, 11], ['Jun 19 2023', 36.907333333333334, 11], ['Jun 20 2023', 37.14042857142857, 8], ['Jun 21 2023', 37.72563636363637, 14], ['Jun 22 2023', 37.559333333333335, 13], ['Jun 23 2023', 36.508, 9], ['Jun 24 2023', 36.459875000000004, 12], ['Jun 25 2023', 36.685833333333335, 15], ['Jun 26 2023', 36.18363636363637, 15], ['Jun 27 2023', 36.30118181818182, 12]]","[{'type': 'html', 'value': 'Exterior: Battle-Scarred'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with the image of a panther over a tiger camo background.'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The eSports 2014 Summer Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
AK-47 | Head Shot (Factory New),"[['Jun 12 2023', 324.64000000000004, 3], ['Jun 13 2023', 307.16966666666667, 3], ['Jun 14 2023', 317.335375, 9], ['Jun 15 2023', 319.34475, 4], ['Jun 16 2023', 315.92900000000003, 9], ['Jun 17 2023', 307.07588888888887, 11], ['Jun 18 2023', 283.01116666666667, 20], ['Jun 19 2023', 294.67650000000003, 8], ['Jun 20 2023', 297.4335, 5], ['Jun 21 2023', 265.38149999999996, 4], ['Jun 22 2023', 293.36275, 4], ['Jun 23 2023', 280.73900000000003, 5], ['Jun 24 2023', 272.3138571428571, 8], ['Jun 25 2023', 262.4652, 7], ['Jun 26 2023', 255.76628571428571, 9]]","[{'type': 'html', 'value': 'Exterior: Factory New'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'Powerful and reliable, the AK-47 is one of the most popular assault rifles in the world. It is most deadly in short, controlled bursts of fire. It has been custom painted with a ""HEAD SHOT GUN"" graffiti and finished with pearlescent coating.\n\n<i>Everyone has goals, but are you willing to put in the work to achieve them? - Booth, Arms Dealer</i>'}, {'type': 'html', 'value': ' '}, {'type': 'html', 'value': 'The Revolution Collection', 'color': '9da1a9'}, {'type': 'html', 'value': ' '}]",Covert Rifle
